"NAISTテキストコーパスの記事番号";"本アノテーションデータにおける記事ID"
"950103025";"911095425"
"950103026";"911095426"
"950103029";"911095427"
"950103030";"911095428"
"950103031";"911095429"
"950103032";"911095430"
"950103034";"911095431"
"950103036";"911095432"
"950103038";"911095433"
"950103039";"911095434"
"950103048";"911095435"
"950103052";"911095436"
"950103054";"911095437"
"950103055";"911095438"
"950103056";"911095439"
"950103070";"911095440"
"950103071";"911095441"
"950103071";"911135474"
"950103072";"911095442"
"950103080";"911095443"
"950103081";"911095444"
"950103083";"911095445"
"950103085";"911095446"
"950103086";"911095447"
"950103087";"911095448"
"950103089";"911095449"
"950103090";"911095450"
"950103092";"911095451"
"950103093";"911095452"
"950103094";"911095453"
"950103095";"911095454"
"950103096";"911095455"
"950103097";"911095456"
"950103098";"911095457"
"950103098";"911115475"
"950103098";"911125477"
"950103098";"911145481"
"950103098";"911185516"
"950103098";"911195594"
"950103098";"911205516"
"950103099";"911095458"
"950103100";"911075502"
"950103100";"911095459"
"950103101";"911095460"
"950103101";"911115464"
"950103101";"911225471"
"950103102";"911095461"
"950103103";"911095462"
"950103105";"911095463"
"950103107";"911095464"
"950103111";"911095465"
"950103116";"911095466"
"950103120";"911095467"
"950103121";"911095468"
"950103129";"911095469"
"950103132";"911095470"
"950103133";"911095471"
"950103134";"911095472"
"950103136";"911095473"
"950103137";"911095474"
"950103138";"911095475"
"950103139";"911095476"
"950103140";"911095477"
"950103141";"911095478"
"950103144";"911095479"
"950103145";"911095480"
"950103146";"911095481"
"950104001";"911105408"
"950104002";"911105409"
"950104003";"911105410"
"950104005";"911105411"
"950104009";"911105412"
"950104010";"911105413"
"950104011";"911105414"
"950104012";"911105415"
"950104014";"911105416"
"950104015";"911105417"
"950104016";"911105418"
"950104017";"911105419"
"950104018";"911105420"
"950104019";"911105421"
"950104020";"950190002"
"950104021";"911105422"
"950104022";"911105423"
"950104023";"911105424"
"950104025";"911105425"
"950104026";"911105426"
"950104027";"911105427"
"950104029";"911105428"
"950104030";"911105429"
"950104031";"911105430"
"950104035";"911105431"
"950104038";"911105432"
"950104039";"911105433"
"950104043";"911105434"
"950104044";"911105435"
"950104046";"911105436"
"950104047";"911105437"
"950104048";"911105438"
"950104049";"911105439"
"950104051";"911105440"
"950104062";"911105441"
"950104063";"911105442"
"950104064";"911105443"
"950104065";"911105444"
"950104069";"911105445"
"950104073";"911105446"
"950104075";"911105447"
"950104076";"911105448"
"950104077";"911105449"
"950104080";"911105450"
"950104086";"911105451"
"950104087";"911105452"
"950104099";"911105453"
"950104101";"911105454"
"950104103";"911105455"
"950104106";"911105456"
"950104108";"911105457"
"950104109";"911105458"
"950104110";"911105459"
"950104111";"911105460"
"950104114";"911105461"
"950104119";"911105462"
"950104120";"911105463"
"950104122";"911105464"
"950104126";"911105465"
"950104127";"911105466"
"950104128";"911105467"
"950104129";"911105468"
"950104130";"911105469"
"950104131";"911105470"
"950104132";"911105471"
"950104134";"911105472"
"950104135";"911105473"
"950104136";"911105474"
"950104137";"911105475"
"950104141";"911105476"
"950104142";"911105477"
"950104144";"911105478"
"950104146";"911105479"
"950104147";"911105480"
"950104148";"911105481"
"950104151";"911105482"
"950104155";"911105483"
"950104156";"911105484"
"950104157";"911105485"
"950104158";"911105486"
"950104159";"911105487"
"950104160";"911105488"
"950104161";"911105489"
"950104162";"911105490"
"950104165";"911105491"
"950104167";"911105492"
"950104168";"911105493"
"950104170";"911105494"
"950104172";"911105495"
"950104173";"911105496"
"950104175";"911105497"
"950104176";"911105498"
"950104177";"911105499"
"950104179";"911105500"
"950104180";"911105501"
"950104181";"911105502"
"950104184";"911105503"
"950104185";"911105504"
"950104186";"911105505"
"950104188";"911105506"
"950104189";"911105507"
"950104190";"911105508"
"950104191";"911105509"
"950104195";"911105510"
"950104197";"911105511"
"950104200";"911105512"
"950104202";"911105513"
"950104207";"911105514"
"950104210";"911105515"
"950104211";"911105516"
"950104216";"911105517"
"950104217";"911105518"
"950104218";"911105519"
"950104219";"911105520"
"950104220";"911105521"
"950104222";"911105522"
"950104223";"911105523"
"950104226";"911105524"
"950104227";"911105525"
"950104228";"911105526"
"950104229";"911105527"
"950104230";"911105528"
"950104231";"911105529"
"950104231";"911115520"
"950104232";"911105530"
"950104232";"911115520"
"950104233";"911105531"
"950105001";"911115408"
"950105002";"911115409"
"950105003";"911115410"
"950105008";"911115411"
"950105009";"911115412"
"950105010";"911115413"
"950105011";"911115414"
"950105013";"911115415"
"950105014";"911115416"
"950105015";"911115417"
"950105016";"911115418"
"950105016";"911155541"
"950105016";"950290022"
"950105016";"950590012"
"950105016";"950890025"
"950105017";"911115419"
"950105018";"911115420"
"950105020";"911115421"
"950105021";"911115422"
"950105022";"911115423"
"950105025";"911115424"
"950105025";"911205431"
"950105033";"911115425"
"950105035";"911115426"
"950105041";"950190003"
"950105042";"950190004"
"950105044";"911115427"
"950105045";"911115428"
"950105046";"911115429"
"950105048";"911115430"
"950105049";"911115431"
"950105051";"911115432"
"950105052";"911115433"
"950105053";"911115434"
"950105054";"911115435"
"950105055";"911115436"
"950105056";"911115437"
"950105057";"911115438"
"950105061";"911115439"
"950105062";"911115440"
"950105063";"911115441"
"950105064";"911115442"
"950105065";"911115443"
"950105066";"911115444"
"950105067";"911115445"
"950105074";"911115446"
"950105076";"911115447"
"950105077";"911115448"
"950105078";"911115449"
"950105079";"911115450"
"950105080";"911115451"
"950105081";"911115452"
"950105082";"911115453"
"950105085";"911115454"
"950105087";"911115455"
"950105089";"911115456"
"950105092";"911115457"
"950105094";"911115458"
"950105096";"911115459"
"950105101";"911115460"
"950105106";"911115461"
"950105107";"911115462"
"950105109";"911115463"
"950105110";"911095460"
"950105110";"911115464"
"950105110";"911225471"
"950105112";"911115465"
"950105113";"911115466"
"950105115";"911115467"
"950105116";"911115468"
"950105118";"911115469"
"950105119";"911115470"
"950105119";"911155467"
"950105119";"911225473"
"950105120";"911115471"
"950105121";"911115472"
"950105122";"911115473"
"950105123";"911115474"
"950105124";"911095457"
"950105124";"911115475"
"950105124";"911125477"
"950105124";"911145481"
"950105124";"911185516"
"950105124";"911195594"
"950105124";"911205516"
"950105125";"911115476"
"950105127";"911115477"
"950105128";"911115478"
"950105130";"911115479"
"950105145";"911115480"
"950105146";"911115481"
"950105147";"911115482"
"950105150";"911115483"
"950105151";"911115484"
"950105152";"911115485"
"950105153";"911115486"
"950105154";"911115487"
"950105155";"911115488"
"950105156";"911115489"
"950105164";"911115490"
"950105165";"911115491"
"950105166";"911115492"
"950105169";"911115493"
"950105170";"911115494"
"950105173";"911115495"
"950105175";"911115496"
"950105176";"911115497"
"950105179";"911115498"
"950105181";"911115499"
"950105182";"911115500"
"950105183";"911115501"
"950105185";"911115502"
"950105186";"911115503"
"950105187";"911115504"
"950105189";"911115505"
"950105190";"911115506"
"950105191";"911115507"
"950105195";"911115508"
"950105196";"911115509"
"950105198";"911115510"
"950105199";"911115511"
"950105200";"911115512"
"950105201";"911115513"
"950105203";"911115514"
"950105204";"911115515"
"950105205";"911115516"
"950105206";"911115517"
"950105207";"911115518"
"950105208";"911115519"
"950105210";"911105529"
"950105210";"911105530"
"950105210";"911115520"
"950105211";"911115521"
"950105214";"911115522"
"950105216";"911115523"
"950105217";"911115524"
"950105221";"911115525"
"950105222";"911115526"
"950105223";"911115527"
"950105224";"911115528"
"950105227";"911115529"
"950105229";"911115530"
"950105230";"911115531"
"950105232";"911115532"
"950105233";"911115533"
"950105234";"911115534"
"950105235";"911115535"
"950105238";"911115536"
"950105239";"911115537"
"950105240";"911115538"
"950105242";"911115539"
"950105243";"911115540"
"950105244";"911115541"
"950105245";"911115542"
"950105246";"911115543"
"950105247";"911115544"
"950106001";"911125408"
"950106003";"911125409"
"950106004";"911125410"
"950106005";"911125411"
"950106006";"911125412"
"950106007";"911125413"
"950106009";"911125414"
"950106010";"911125415"
"950106011";"911125416"
"950106013";"911125417"
"950106014";"911125418"
"950106015";"911125419"
"950106016";"911125420"
"950106017";"911125421"
"950106019";"911125422"
"950106021";"911125423"
"950106022";"911125424"
"950106023";"911125425"
"950106024";"911125426"
"950106040";"950190005"
"950106041";"950190006"
"950106044";"911125428"
"950106045";"911125429"
"950106046";"911125430"
"950106047";"911125431"
"950106049";"911125432"
"950106050";"911125433"
"950106051";"911125434"
"950106052";"911125435"
"950106055";"911125436"
"950106056";"911125437"
"950106057";"911125438"
"950106058";"911125439"
"950106060";"911125440"
"950106061";"911125441"
"950106062";"911125442"
"950106063";"911125443"
"950106065";"911125444"
"950106068";"911125445"
"950106070";"911125446"
"950106071";"911125447"
"950106072";"911125448"
"950106074";"911125449"
"950106076";"911125450"
"950106077";"911125451"
"950106078";"911125452"
"950106079";"911125453"
"950106080";"911125454"
"950106081";"911125455"
"950106082";"911125456"
"950106085";"911125457"
"950106087";"911125458"
"950106092";"911125459"
"950106093";"911125460"
"950106096";"911125461"
"950106098";"911125462"
"950106099";"911125463"
"950106104";"911125464"
"950106105";"911125465"
"950106106";"911125466"
"950106110";"911125467"
"950106112";"911125468"
"950106113";"911125469"
"950106117";"911125470"
"950106118";"911125471"
"950106125";"911125472"
"950106127";"911125473"
"950106128";"911125474"
"950106129";"911125475"
"950106130";"911125476"
"950106131";"911095457"
"950106131";"911115475"
"950106131";"911125477"
"950106131";"911145481"
"950106131";"911185516"
"950106131";"911195594"
"950106131";"911205516"
"950106134";"911125478"
"950106138";"911125479"
"950106146";"911125480"
"950106149";"911125481"
"950106150";"911125482"
"950106151";"911125483"
"950106152";"911125484"
"950106153";"911125485"
"950106154";"911125486"
"950106155";"911125487"
"950106157";"911125489"
"950106158";"911125490"
"950106159";"911125491"
"950106160";"911125492"
"950106161";"911125493"
"950106162";"911125494"
"950106164";"911125495"
"950106168";"911125496"
"950106169";"911125497"
"950106170";"911125498"
"950106171";"911125499"
"950106172";"911125500"
"950106173";"911125501"
"950106174";"911125502"
"950106177";"911125503"
"950106178";"911125504"
"950106180";"911125505"
"950106181";"911125506"
"950106184";"911125507"
"950106185";"911125508"
"950106186";"911125509"
"950106187";"911125510"
"950106188";"911125511"
"950106191";"911125512"
"950106192";"911125513"
"950106193";"911125514"
"950106195";"911125515"
"950106198";"911125516"
"950106199";"911125517"
"950106201";"911125518"
"950106204";"911125519"
"950106209";"911125520"
"950106210";"911125521"
"950106212";"911125523"
"950106214";"911125524"
"950106217";"911125525"
"950106219";"911125526"
"950106221";"911125527"
"950106223";"911125528"
"950106225";"911125529"
"950106227";"911125530"
"950106228";"911125531"
"950106229";"911125532"
"950106231";"911125533"
"950106234";"911125534"
"950106235";"911125535"
"950106236";"911125536"
"950106240";"911125537"
"950106242";"911125538"
"950106243";"911125539"
"950106244";"911125540"
"950106246";"911125541"
"950106248";"911125542"
"950106249";"911125543"
"950106250";"911125544"
"950106251";"911125545"
"950106255";"911125546"
"950106256";"911125547"
"950106256";"911135534"
"950106257";"911125548"
"950106258";"911125549"
"950106259";"911125550"
"950106260";"911125551"
"950106261";"911125552"
"950106262";"911125553"
"950106263";"911125554"
"950106264";"911125555"
"950106265";"911125556"
"950107001";"911135408"
"950107002";"911135409"
"950107003";"911135410"
"950107004";"911135411"
"950107005";"911135412"
"950107006";"911135413"
"950107007";"911135414"
"950107008";"911135415"
"950107010";"911135416"
"950107011";"911135417"
"950107012";"911135418"
"950107014";"911135419"
"950107015";"911135420"
"950107016";"911135421"
"950107017";"911135422"
"950107018";"911135423"
"950107019";"911135424"
"950107020";"911135425"
"950107021";"911135426"
"950107023";"911135427"
"950107024";"911135428"
"950107026";"911135429"
"950107027";"911135430"
"950107028";"911135431"
"950107029";"911135432"
"950107030";"911135433"
"950107033";"911135434"
"950107034";"911135435"
"950107036";"911135436"
"950107037";"911135437"
"950107038";"911135438"
"950107039";"911135439"
"950107040";"911135440"
"950107041";"911135441"
"950107042";"950190007"
"950107043";"950190008"
"950107044";"911135442"
"950107047";"911135443"
"950107048";"911135444"
"950107050";"911135445"
"950107052";"911135446"
"950107054";"911135447"
"950107055";"911135448"
"950107056";"911135449"
"950107057";"911135450"
"950107058";"911135451"
"950107059";"911135452"
"950107061";"911135453"
"950107062";"911135454"
"950107063";"911135455"
"950107064";"911135456"
"950107065";"911135457"
"950107066";"911135458"
"950107067";"911135459"
"950107068";"911135460"
"950107071";"911135461"
"950107072";"911135462"
"950107075";"911135463"
"950107076";"911135464"
"950107078";"911135465"
"950107079";"911135466"
"950107080";"911135467"
"950107091";"911135468"
"950107092";"911135469"
"950107093";"911135470"
"950107095";"911135471"
"950107100";"911135472"
"950107102";"911135473"
"950107103";"911095441"
"950107103";"911135474"
"950107105";"911135475"
"950107106";"911135476"
"950107114";"911135477"
"950107115";"911135478"
"950107117";"911135479"
"950107122";"911135480"
"950107123";"911135481"
"950107125";"911135482"
"950107128";"911135483"
"950107129";"911135484"
"950107130";"911135485"
"950107132";"911135486"
"950107133";"911135487"
"950107135";"911135488"
"950107136";"911135489"
"950107137";"911135490"
"950107138";"911135491"
"950107139";"911135492"
"950107140";"911135493"
"950107145";"911135494"
"950107146";"911135495"
"950107147";"911135496"
"950107148";"911135497"
"950107149";"911135498"
"950107155";"911135499"
"950107157";"911135500"
"950107158";"911135501"
"950107159";"911135502"
"950107161";"911135503"
"950107162";"911135504"
"950107163";"911135505"
"950107164";"911135506"
"950107165";"911135507"
"950107166";"911135508"
"950107167";"911135509"
"950107168";"911135510"
"950107169";"911135511"
"950107170";"911135512"
"950107173";"911135513"
"950107175";"911135514"
"950107176";"911135515"
"950107179";"911135516"
"950107180";"911135517"
"950107181";"911135518"
"950107182";"911135519"
"950107183";"911135520"
"950107185";"911135521"
"950107187";"911135522"
"950107188";"911135523"
"950107190";"911135524"
"950107200";"911135525"
"950107201";"911135526"
"950107205";"911135527"
"950107206";"911135528"
"950107208";"911135529"
"950107210";"911135530"
"950107211";"911135531"
"950107212";"911135532"
"950107213";"911135533"
"950107214";"911125547"
"950107214";"911135534"
"950107217";"911135535"
"950107218";"911135536"
"950107219";"911135537"
"950107220";"911135538"
"950107221";"911135539"
"950107222";"911135540"
"950107224";"911135541"
"950107225";"911135542"
"950107226";"911135543"
"950107227";"911135544"
"950107228";"911135545"
"950107229";"911135546"
"950107230";"911135547"
"950107231";"911135548"
"950107233";"911135549"
"950107235";"911135550"
"950107237";"911135551"
"950107241";"911135552"
"950107245";"911135553"
"950108002";"911145408"
"950108003";"911145409"
"950108004";"911145410"
"950108008";"911145411"
"950108010";"911145412"
"950108011";"911145413"
"950108012";"911145414"
"950108013";"911145415"
"950108014";"911145416"
"950108016";"911145417"
"950108018";"911145418"
"950108020";"911145419"
"950108022";"911145420"
"950108025";"911145421"
"950108027";"911145422"
"950108028";"911145423"
"950108031";"950190009"
"950108032";"911145424"
"950108034";"911145425"
"950108035";"911145426"
"950108037";"911145427"
"950108039";"911145428"
"950108040";"911145429"
"950108042";"911145430"
"950108043";"911145431"
"950108044";"911145432"
"950108045";"911145433"
"950108046";"911145434"
"950108047";"911145435"
"950108049";"911145436"
"950108050";"911145437"
"950108051";"911145438"
"950108052";"911145439"
"950108053";"911145440"
"950108054";"911145441"
"950108055";"911145442"
"950108056";"911145443"
"950108057";"911145444"
"950108060";"911145445"
"950108062";"911145446"
"950108062";"911215449"
"950108063";"911145447"
"950108064";"911145448"
"950108065";"911145449"
"950108068";"911145450"
"950108069";"911145451"
"950108070";"911145452"
"950108071";"911145453"
"950108072";"911145454"
"950108073";"911145455"
"950108078";"911145456"
"950108080";"911145457"
"950108082";"911145458"
"950108084";"911145459"
"950108091";"911145460"
"950108092";"911145461"
"950108094";"911145462"
"950108102";"911145463"
"950108106";"911145464"
"950108107";"911145465"
"950108108";"911145466"
"950108111";"911145467"
"950108113";"911145468"
"950108114";"911145469"
"950108122";"911145470"
"950108124";"911145471"
"950108128";"911145472"
"950108131";"911145473"
"950108133";"911145474"
"950108134";"911145475"
"950108137";"911145476"
"950108138";"911145477"
"950108139";"911145478"
"950108141";"911145479"
"950108142";"911145480"
"950108143";"911095457"
"950108143";"911115475"
"950108143";"911125477"
"950108143";"911145481"
"950108143";"911185516"
"950108143";"911195594"
"950108143";"911205516"
"950108144";"911145482"
"950108145";"911145483"
"950108147";"911145484"
"950108151";"911145485"
"950108156";"911145486"
"950108157";"911145487"
"950108163";"911145488"
"950108164";"911145489"
"950108166";"911145490"
"950108168";"911145491"
"950108171";"911145492"
"950108172";"911145493"
"950108173";"911145494"
"950108175";"911145495"
"950108177";"911145496"
"950108178";"911145497"
"950108180";"911145498"
"950108181";"911145499"
"950108182";"911145500"
"950108183";"911145501"
"950108185";"911145502"
"950108186";"911145503"
"950108187";"911145504"
"950108188";"911145505"
"950108189";"911145506"
"950108190";"911145507"
"950108191";"911145508"
"950108192";"911145509"
"950108193";"911145510"
"950108194";"911145511"
"950108195";"911145512"
"950108196";"911145513"
"950108196";"911155518"
"950108197";"911145514"
"950108199";"911145515"
"950108200";"911145516"
"950108203";"911145517"
"950109002";"911155408"
"950109003";"911155409"
"950109004";"911155410"
"950109005";"911155411"
"950109007";"911155412"
"950109009";"911155413"
"950109011";"911155414"
"950109012";"911155415"
"950109015";"911155416"
"950109016";"911155417"
"950109018";"911155418"
"950109021";"950190010"
"950109022";"911155419"
"950109024";"911155420"
"950109025";"911155421"
"950109026";"911155422"
"950109027";"911155423"
"950109028";"911155424"
"950109029";"911155425"
"950109032";"911155426"
"950109033";"911155427"
"950109034";"911155428"
"950109035";"911155429"
"950109036";"911155430"
"950109037";"911155431"
"950109038";"911155432"
"950109039";"911155433"
"950109040";"911155434"
"950109041";"911155435"
"950109042";"911155436"
"950109047";"911155437"
"950109048";"911155438"
"950109049";"911155439"
"950109050";"911155440"
"950109052";"911155441"
"950109055";"911155442"
"950109056";"911155443"
"950109057";"911155444"
"950109058";"911155445"
"950109059";"911155446"
"950109060";"911155447"
"950109063";"911155448"
"950109064";"911155449"
"950109067";"911155450"
"950109070";"911155451"
"950109072";"911155452"
"950109078";"911155453"
"950109079";"911155454"
"950109080";"911155455"
"950109083";"911155456"
"950109084";"911155457"
"950109089";"911155458"
"950109090";"911155459"
"950109094";"911155460"
"950109105";"911155461"
"950109113";"911155462"
"950109114";"911155463"
"950109116";"911155464"
"950109117";"911155465"
"950109119";"911155466"
"950109120";"911115470"
"950109120";"911155467"
"950109120";"911225473"
"950109121";"911155468"
"950109123";"911155469"
"950109124";"911155470"
"950109125";"911155471"
"950109126";"911155472"
"950109128";"911155473"
"950109131";"911155474"
"950109133";"911155475"
"950109140";"911155476"
"950109141";"911155477"
"950109144";"911155478"
"950109146";"911155479"
"950109147";"911155480"
"950109148";"911155481"
"950109149";"911155482"
"950109151";"911155483"
"950109152";"911155484"
"950109155";"911155485"
"950109156";"911155486"
"950109157";"911155487"
"950109158";"911155488"
"950109159";"911155489"
"950109160";"911155490"
"950109167";"911155491"
"950109169";"911155492"
"950109170";"911155493"
"950109171";"911155494"
"950109172";"911155495"
"950109173";"911155496"
"950109174";"911155497"
"950109176";"911155498"
"950109178";"911155499"
"950109180";"911155500"
"950109181";"911155501"
"950109182";"911155502"
"950109183";"911155503"
"950109184";"911155504"
"950109185";"911155505"
"950109191";"911155506"
"950109192";"911155507"
"950109193";"911155508"
"950109194";"911155509"
"950109199";"911155510"
"950109200";"911155511"
"950109202";"911155512"
"950109203";"911155513"
"950109204";"911155514"
"950109205";"911155515"
"950109206";"911155516"
"950109209";"911155517"
"950109210";"911145513"
"950109210";"911155518"
"950109211";"911155519"
"950109213";"911155520"
"950109214";"911155521"
"950109217";"911155522"
"950109218";"911155523"
"950109219";"911155524"
"950109220";"911155525"
"950109221";"911155526"
"950109222";"911155527"
"950109223";"911155528"
"950109225";"911155529"
"950109226";"911155530"
"950109227";"911155531"
"950109228";"911155532"
"950109229";"911155533"
"950109231";"911155534"
"950109236";"911155535"
"950109237";"911155536"
"950109238";"911155537"
"950109238";"911165499"
"950109239";"911155538"
"950109240";"911155539"
"950109241";"911155540"
"950109242";"911115418"
"950109242";"911155541"
"950109242";"950290022"
"950109242";"950590012"
"950109242";"950890025"
"950109243";"911155542"
"950109244";"911155543"
"950109245";"911155544"
"950109247";"911155545"
"950110001";"911165408"
"950110002";"911165409"
"950110003";"911165410"
"950110004";"911165411"
"950110005";"911165412"
"950110007";"911165413"
"950110008";"911165414"
"950110009";"911165415"
"950110010";"911165416"
"950110011";"911165417"
"950110012";"911165418"
"950110013";"911165419"
"950110017";"911165420"
"950110018";"911165421"
"950110019";"911165422"
"950110021";"911165423"
"950110022";"911165424"
"950110023";"911165425"
"950110025";"911165426"
"950110027";"911165427"
"950110030";"911165428"
"950110031";"911165429"
"950110032";"911165430"
"950110033";"911165431"
"950110035";"911165432"
"950110036";"911165433"
"950110037";"911165434"
"950110038";"911165435"
"950110039";"911165436"
"950110040";"911165437"
"950110041";"950190011"
"950110043";"911165438"
"950110045";"911165439"
"950110046";"911165440"
"950110047";"911165441"
"950110048";"911165442"
"950110050";"911165443"
"950110051";"911165444"
"950110052";"911165445"
"950110053";"911165446"
"950110054";"911165447"
"950110055";"911165448"
"950110056";"911165449"
"950110057";"911165450"
"950110058";"911165451"
"950110059";"911165452"
"950110060";"911165453"
"950110061";"911165454"
"950110062";"911165455"
"950110063";"911165456"
"950110064";"911165457"
"950110065";"911165458"
"950110067";"911165459"
"950110068";"911165460"
"950110069";"911165461"
"950110071";"911165462"
"950110072";"911165463"
"950110074";"911165464"
"950110075";"911165465"
"950110078";"911165466"
"950110080";"911165467"
"950110082";"911165468"
"950110083";"911165469"
"950110084";"911165470"
"950110085";"911165471"
"950110086";"911165472"
"950110087";"911165473"
"950110088";"911165474"
"950110090";"911165475"
"950110091";"911165476"
"950110092";"911165477"
"950110093";"911165478"
"950110094";"911165479"
"950110095";"911165480"
"950110096";"911165481"
"950110103";"911165482"
"950110104";"911165483"
"950110107";"911165484"
"950110111";"911165485"
"950110112";"911165486"
"950110114";"911165487"
"950110115";"911165488"
"950110116";"911165489"
"950110118";"911165490"
"950110121";"911165491"
"950110122";"911165492"
"950110125";"911165493"
"950110126";"911165494"
"950110128";"911165495"
"950110130";"911165496"
"950110132";"911165497"
"950110134";"911165498"
"950110136";"911155537"
"950110136";"911165499"
"950110137";"911165500"
"950110138";"911165501"
"950110140";"911165502"
"950110141";"911165503"
"950110142";"911165504"
"950110144";"911165505"
"950110145";"911165506"
"950110146";"911165507"
"950110148";"911165508"
"950110149";"911165509"
"950110150";"911165510"
"950110151";"911165511"
"950110154";"911165512"
"950110161";"911165513"
"950110163";"911165514"
"950110164";"911165515"
"950110165";"911165516"
"950110167";"911165517"
"950110168";"911165518"
"950110169";"911165519"
"950110170";"911165520"
"950110171";"911165521"
"950110172";"911165522"
"950110173";"911165523"
"950110174";"911165524"
"950110178";"911165525"
"950110179";"911165526"
"950110180";"911165527"
"950110181";"911165528"
"950110182";"911165529"
"950110184";"911165530"
"950110185";"911165531"
"950110186";"911165532"
"950110187";"911165533"
"950110188";"911165534"
"950110189";"911165535"
"950110191";"911165536"
"950110193";"911165537"
"950110194";"911165538"
"950110195";"911165539"
"950110196";"911165540"
"950110197";"911165541"
"950110198";"911165542"
"950110199";"911165543"
"950110200";"911165544"
"950110201";"911165545"
"950110202";"911165546"
"950110204";"911165547"
"950110205";"911165548"
"950110206";"911165549"
"950110210";"911165550"
"950110213";"911165551"
"950110216";"911165552"
"950110219";"911165553"
"950110220";"911165554"
"950110221";"911165555"
"950110222";"911165556"
"950110226";"911165557"
"950110227";"911165558"
"950110230";"911165559"
"950110231";"911165560"
"950110232";"911165561"
"950110234";"911165562"
"950110235";"911165563"
"950110244";"911165564"
"950110245";"911165565"
"950110246";"911165566"
"950110247";"911165567"
"950110250";"911165568"
"950110252";"911165569"
"950110253";"911165570"
"950110254";"911165571"
"950110256";"911165572"
"950110257";"911165573"
"950110258";"911165574"
"950110259";"911165575"
"950110262";"911165576"
"950110263";"911165577"
"950110264";"911165578"
"950110264";"911225490"
"950110265";"911165579"
"950110266";"911165580"
"950110268";"911165581"
"950110269";"911165582"
"950110271";"911165583"
"950110272";"911165584"
"950110273";"911165585"
"950110274";"911165586"
"950110275";"911165587"
"950110276";"911165588"
"950110277";"911165589"
"950110278";"911165590"
"950110279";"911165591"
"950110281";"911165592"
"950110282";"911165593"
"950110283";"911165594"
"950110284";"911165595"
"950110287";"911165596"
"950111001";"911175408"
"950111003";"911175409"
"950111005";"911175410"
"950111006";"911175411"
"950111007";"911175412"
"950111010";"911175414"
"950111011";"911175415"
"950111012";"911175416"
"950111013";"911175417"
"950111014";"911175418"
"950111015";"911175419"
"950111018";"911175420"
"950111019";"911175421"
"950111020";"911175422"
"950111021";"911175423"
"950111022";"911175424"
"950111024";"911175425"
"950111026";"911175426"
"950111027";"911175427"
"950111028";"911175428"
"950111031";"911175429"
"950111032";"911175430"
"950111033";"911175431"
"950111034";"911175432"
"950111035";"911175433"
"950111036";"911175434"
"950111040";"911175435"
"950111041";"911175436"
"950111042";"911175437"
"950111043";"911175438"
"950111044";"911175439"
"950111045";"950190012"
"950111046";"950190013"
"950111047";"911175440"
"950111049";"911175441"
"950111050";"911175442"
"950111051";"911175443"
"950111052";"911175444"
