ID,記事ID,文番号,述語,述語位置,ガ格,ガ文ID,ガ位置,ヲ格,ヲ文ID,ヲ位置,ニ格,ニ文ID,ニ位置,本文書き出し,意味役割
1335,911075448,39,伸び,21,日本,39,0,,-1,-1,,-1,-1,日本は,"ガ:対象 ニ:程度 "
1338,911075448,40,生活し,35,Ｕターン組,40,42,,-1,-1,,-1,-1,米国や,"ガ:動作主 "
1358,911075449,6,名乗っ,20,初代大橋宗桂,6,8,一世名人,6,15,,-1,-1,徳川幕,"ガ:動作主 ヲ:役割 "
1360,911075449,7,名乗り,27,将棋三家,7,17,歴代名人,7,22,,-1,-1,以来、,"ガ:動作主 ヲ:役割 "
1415,911075449,22,退け,54,大山,22,0,有吉道夫ら,22,45,,-1,-1,大山は,"ガ:経験者 ヲ:対象（人） "
1417,911075449,22,合わせ,65,,-1,-1,,-1,-1,,-1,-1,大山は,"ガ:経験者？ ヲ:対象？ "
1458,911075450,2,再現し,74,,-1,-1,状況,2,71,,-1,-1,第３６,"ガ:動作主 ヲ:対象 "
1593,911075451,19,名乗る,53,岩本,19,44,本因坊薫和,19,47,,-1,-1,このよ,"ガ:動作主 ヲ:対象 "
1677,911075452,11,明ける,2,一夜,11,0,,-1,-1,,-1,-1,一夜明,"ガ:対象 "
1772,911075457,3,更新し,35,リロイ・バレル,3,3,世界記録,3,30,,-1,-1,昨年は,"ガ:経験者 ヲ:対象（事態） "
1845,911075461,14,出馬し,7,鳩山氏,14,3,,-1,-1,都知事選,0,3,「もし,"ガ:動作主 ニ:対象？ "
1872,911075464,3,合わせ,6,,-1,-1,,-1,-1,,-1,-1,下谷、,"ガ:経験者？ ヲ:対象？ "
1881,911075465,1,埋まっ,37,参道,1,8,,-1,-1,,-1,-1,全国の,"ガ:場所 "
1884,911075465,3,吹か,6,北風,3,3,,-1,-1,,-1,-1,冷たい,"ガ:対象 "
1906,911075467,1,乗せ,53,徹容疑者,1,7,茉莉ちゃん,1,38,軽乗用車,1,48,調べに,"ガ:動作主 ヲ:削除 ニ:着点 "
1984,911075474,4,知り合っ,11,二人,4,0,,-1,-1,,-1,-1,二人は,"ガ:動作主 "
1987,911075474,6,出会っ,0,二人,4,0,,-1,-1,,-1,-1,出会っ,"ガ:経験者？ "
2048,911075475,2,取り出し,55,玲子さん,2,21,ウエディングドレス,2,45,,-1,-1,二時間,"ガ:動作主 ヲ:対象 "
2050,911075475,3,囲ま,3,知人,3,0,二人,3,19,,-1,-1,知人に,"ガ:動作主 ヲ:対象（人） "
2060,911075475,8,劣ら,10,玲子さん,8,0,,-1,-1,関野さん,8,5,玲子さ,"ガ:経験者 ニ:基準点 "
2078,911075475,15,思い込ん,38,私,14,9,こと,15,5,,-1,-1,関野さ,"ガ:動作主？ ヲ:対象 "
2084,911075475,18,知り合っ,0,私,14,9,,-1,-1,,-1,-1,知り合,"ガ:動作主 "
2107,911075476,1,刻む,29,,-1,-1,一ページ,1,24,歴史,1,17,２９回,"ガ:対象 ヲ:慣用 ニ:慣用 ガ:経験者？ ヲ:対象 ニ:着点 "
2155,911075476,17,明け,32,年,17,30,,-1,-1,,-1,-1,日本に,"ガ:対象 "
2196,911075478,2,退け,19,米国,1,13,挑戦,2,11,,-1,-1,２４回,"ガ:経験者 ヲ:対象（事態） "
2216,911075478,9,拾っ,23,バートランド,9,26,５戦,9,20,,-1,-1,先行し,"ガ:経験者 ヲ:対象 "
2220,911075478,11,味わっ,6,コナー,11,10,屈辱,11,3,,-1,-1,初めて,"ガ:経験者 ヲ:感情 "
2334,911075481,24,合流し,10,ヨットクラブ,24,3,,-1,-1,,-1,-1,２つの,"ガ:動作主 "
2351,911075482,4,動かし,61,ロマン,4,49,心,4,59,,-1,-1,「底な,"ヲ:対象（身体部分） ガ:対象 "
2431,911075485,1,競う,48,５カ国８チーム,1,40,ルイ・ヴィトンカップ,1,50,,-1,-1,米国の,"ガ:動作主 ヲ:削除 "
2433,911075485,2,展望し,22,,-1,-1,両シリーズ,2,16,,-1,-1,シチズ,"ガ:動作主 ヲ:対象 "
2449,911075485,6,巻く,52,クルー,6,31,舌,6,50,,-1,-1,強風で,"ガ:経験者？ ヲ:慣用 ニ:原因 "
2481,911075485,20,抜け,31,,-1,-1,気,20,29,,-1,-1,ラウン,"ガ:経験者 ヲ:慣用 "
2572,911075486,25,出会っ,10,,-1,-1,,-1,-1,校長,25,21,メコン,"ガ:経験者 ニ:対象（人） "
2587,911075487,4,稼ぐ,32,電気,4,13,四分の一,4,27,,-1,-1,現在最,"ガ:対象 ヲ:対象 "
2664,911075489,4,遊ぶ,9,子供たち,4,11,,-1,-1,,-1,-1,小舟の,"ガ:動作主 "
2679,911075489,9,伸び,13,コメ生産,9,5,,-1,-1,,-1,-1,ベトナ,"ガ:対象（事態） "
2680,911075489,9,稼ぐ,27,ベトナム,9,0,外貨,9,24,,-1,-1,ベトナ,"ガ:対象（事態） ヲ:対象 "
2773,911075491,16,消滅し,16,天然林,16,12,,-1,-1,,-1,-1,タイ北,"ガ:対象 "
2807,911075492,4,着い,49,,-1,-1,,-1,-1,山村,4,46,ヘルメ,"ガ:動作主 ニ:着点（場所） "
2920,911075496,0,立ち上がっ,80,関係者ら,0,66,,-1,-1,標本館建設,0,74,サンパ,"ガ:動作主 ヲ:対象（事態） ガ:動作主 ニ:対象（事態） "
2928,911075496,5,勤め,24,橋本さん,3,0,,-1,-1,農事試験場など,5,16,日本で,"ガ:動作主 ニ:着点 "
2935,911075496,7,収集し,15,橋本さん,7,10,植物標本,7,19,,-1,-1,広いブ,"ガ:動作主 ヲ:対象 "
2961,911075498,2,流行し,26,鴨緑江節,2,20,,-1,-1,,-1,-1,大正時,"ガ:対象 "
2969,911075499,2,閉鎖さ,24,関西空港,0,24,滑走路,2,20,,-1,-1,スポッ,"ガ:動作主？ ヲ:場所 "
2984,911075500,4,埋まっ,62,境内,4,56,,-1,-1,,-1,-1,例年、,"ガ:場所 "
2987,911075501,0,壊れ,60,人形ケース,0,54,,-1,-1,,-1,-1,三十一,"ガ:対象 "
3101,911095409,12,アップし,15,事業効率,12,10,,-1,-1,,-1,-1,自主目,"ガ:対象 "
3104,911095409,13,カバーせ,20,ガス会社,12,26,増加コスト分全部,13,8,,-1,-1,下回っ,"ガ:動作主 ヲ:対象 ガ:動作主 ヲ:対象 "
3111,911095410,1,漂う,19,黒煙,1,16,,-1,-1,空,1,0,空には,"ニ:場所 ガ:対象 "
3430,911095417,10,更新し,23,放送局,10,16,設備,10,20,,-1,-1,しかし,"ガ:動作主 ヲ:対象 "
3554,911095422,1,放送さ,25,平壌放送,0,12,辞,1,22,,-1,-1,例年、,"ガ:動作主 ヲ:対象 "
3578,911095422,6,再放送さ,40,平壌放送,0,12,辞,6,28,,-1,-1,この社,"ガ:動作主 ヲ:対象 "
3750,911095432,4,遊ん,8,,-1,-1,,-1,-1,,-1,-1,遊園地,"ガ:動作主 "
3782,911095433,2,運転し,2,障害者,2,8,車,2,0,,-1,-1,車を運,"ガ:動作主 ヲ:対象 "
3946,911095438,16,満足せ,8,宗茂監督,15,8,,-1,-1,評価,16,5,「王国,"ニ:原因 ガ:経験者 ニ:対象（事態） "
4007,911095439,14,逆転し,30,立場,14,25,,-1,-1,,-1,-1,花田ら,"ガ:対象 "
4023,911095440,2,抜け,9,ＳＯ前田,1,7,相手ディフェンス,1,22,,-1,-1,「いい,"ガ:動作主 ヲ:対象 "
4038,911095440,10,覚悟し,12,国学院久我山,1,0,同点,10,9,,-1,-1,サイド,"ガ:動作主？ ヲ:状況 "
4041,911095440,12,拾う,10,駒井,12,3,ボール,12,6,,-1,-1,やはり,"ガ:動作主 ヲ:対象 "
4048,911095440,17,犯し,13,啓光,17,3,反則,17,10,,-1,-1,焦った,"ガ:動作主 ヲ:対象（事態） "
4050,911095440,18,救う,3,ファインプレー,18,5,危機,18,0,,-1,-1,危機を,"ガ:対象（事態） ヲ:対象？ "
4070,911095440,26,外れる,26,ゴールキック,26,19,,-1,-1,,-1,-1,トライ,"ガ:対象（事態） ガ:対象（事態） "
4127,911095441,18,味わっ,43,貴乃花,1,24,,-1,-1,,-1,-1,２年近,"ガ:経験者 ヲ:対象（事態） "
4140,911095441,22,緊張する,6,貴乃花,21,10,,-1,-1,,-1,-1,それで,"ガ:経験者 "
4185,911095443,5,偏ら,34,攻撃,5,28,,-1,-1,,-1,-1,奈良育,"ガ:対象（事態） "
4247,911095444,13,プレーし,13,古前田監督,13,0,,-1,-1,,-1,-1,古前田,"ガ:動作主 "
4264,911095445,1,退け,39,大東大,1,3,挑戦,1,30,,-1,-1,明大と,"ガ:経験者 ヲ:対象（事態） "
4293,911095445,11,突破し,36,井沢主将,11,28,早大防御,11,0,,-1,-1,早大防,"ガ:動作主 ヲ:対象 "
4374,911095447,13,表示さ,21,,-1,-1,一覧表,13,17,画面,13,0,画面に,"ガ:動作主 ヲ:対象 ニ:着点（場所） "
4401,911095447,26,合わせ,31,,-1,-1,地方紙,26,28,,-1,-1,全国紙,"ガ:経験者？ ニ:着点？ ヲ:対象 "
4407,911095447,28,取り込む,14,,-1,-1,音声,28,11,電子新聞,27,56,静止画,"ガ:動作主？ ヲ:対象 ニ:着点？ "
4469,911095452,1,捜査し,26,麹町署,1,0,,-1,-1,,-1,-1,麹町署,"ヲ:対象 ガ:動作主 "
4517,911095454,7,製造さ,56,,-1,-1,サリン,7,52,,-1,-1,しかし,"ガ:動作主 ヲ:生成物 "
4527,911095455,3,祝う,18,陛下,3,0,新年,3,15,,-1,-1,陛下は,"ガ:動作主 ヲ:対象 "
4532,911095456,0,転落し,61,三浦貫治さん,0,43,,-1,-1,荒川,0,58,一日午,"ガ:経験者 ニ:着点（場所） "
4555,911095458,3,観測し,31,同気象台,2,0,震度１,3,27,,-1,-1,釧路、,"ガ:動作主 ヲ:程度 "
4556,911095458,4,観測さ,3,同気象台,2,0,津波,4,0,,-1,-1,津波は,"ガ:動作主 ヲ:対象 "
4609,911095463,0,詰まら,27,もちなど,0,19,,-1,-1,のど,0,24,東京都,"ガ:内容物？ ニ:着点（身体部分） "
4612,911095463,1,詰まら,28,もち,1,25,,-1,-1,のど,0,24,東京消,"ガ:内容物？ ニ:着点（身体部分） "
4619,911095464,0,脅し,71,男,0,44,看護婦,0,53,,-1,-1,二日午,"ガ:動作主 ヲ:対象（人） "
4629,911095465,0,祝う,3,,-1,-1,新年,0,0,,-1,-1,新年を,"ガ:動作主 ヲ:対象 "
4674,911095467,2,合わせ,10,大阪大学医学部,0,0,,-1,-1,マルチメディア時代,2,0,マルチ,"ガ:動作主 ニ:基準点 "
4731,911095470,2,アップし,29,初乗り運賃,2,0,,-1,-1,,-1,-1,初乗り,"ガ:対象 "
4783,911095475,0,売り出し,83,家西寿満さん,0,56,おはぎ,0,70,,-1,-1,赤飯の,"ガ:動作主 ヲ:対象 "
4802,911095475,7,売り出し,17,家西さん,5,0,あめ,7,14,,-1,-1,赤米を,"ガ:動作主 ヲ:対象 "
4824,911095477,0,祝う,6,,-1,-1,新年,0,0,,-1,-1,新年を,"ガ:動作主 ヲ:対象 "
4916,911095481,1,刺し,31,李武明容疑者,0,79,胸,1,27,,-1,-1,調べで,"ガ:動作主 ヲ:対象（身体部分） "
4919,911095481,2,手伝っ,18,李容疑者,2,0,食肉加工店,2,12,,-1,-1,李容疑,"ガ:動作主 ヲ:対象 "
4930,911105408,1,裏付ける,9,こと,0,86,本格化,1,5,,-1,-1,景気回,"ガ:対象 ヲ:対象（事態） "
4953,911105408,8,引きずる,32,三社,8,70,後遺症,8,28,,-1,-1,九五年,"ガ:経験者 ヲ:対象 "
5051,911105414,3,祝う,22,,-1,-1,衆院議員在職二十五年,3,11,,-1,-1,十二月,"ガ:動作主 ヲ:対象 "
5222,911105417,1,配ら,18,自治省,0,0,様式集,1,33,,-1,-1,政党で,"ガ:動作主 ヲ:対象 "
5279,911105418,3,逆転し,91,,-1,-1,,-1,-1,,-1,-1,母親が,"ガ:対象 "
5372,911105422,1,中断し,24,日朝,1,0,交渉,1,2,,-1,-1,日朝交,"ガ:対象（事態） ヲ:削除 "
5434,911105425,8,取り付け,39,カンボジア政府,7,0,設置合意,8,34,,-1,-1,同派と,"ガ:動作主 ヲ:対象（事態） "
5512,911105432,0,巻き,10,泡,0,22,渦,0,8,,-1,-1,電灯を,"ガ:対象 ヲ:状態 "
5530,911105432,5,作り出す,9,藻,5,7,物質,5,13,,-1,-1,かび臭,"ガ:対象（生物） ヲ:生成物 "
5550,911105432,12,交え,34,尾崎勝技術課長,12,21,ジョーク,12,29,,-1,-1,「計十,"ガ:動作主 ヲ:対象 ニ:対象（事態） ニ:着点？ "
5553,911105432,13,通す,21,浄水場,3,2,層,13,19,,-1,-1,続いて,"ガ:動作主 ヲ:対象 "
5592,911105433,5,壊れ,20,水素結合,5,11,,-1,-1,,-1,-1,コンピ,"ガ:対象（事態） "
5593,911105433,5,計算し,41,コンピューターモデル,5,0,やりとりなど,5,34,,-1,-1,コンピ,"ガ:対象？ ヲ:対象（事態） "
5639,911105434,10,合わせる,36,,-1,-1,,-1,-1,,-1,-1,そう勧,"ガ:経験者？ ヲ:対象？ "
5664,911105436,2,落ち込ん,14,前年,2,19,,-1,-1,過去最低水準,2,7,労組に,"ガ:対象 ニ:着点？ "
5744,911105439,0,引きずら,42,要求,0,39,,-1,-1,,-1,-1,バブル,"ガ:対象（事態） "
5767,911105439,4,割れ,34,見方,4,28,,-1,-1,二つ,4,31,また価,"ガ:対象 ニ:程度 "
5911,911105443,2,付い,15,傷,2,13,,-1,-1,,-1,-1,合成皮,"ガ:対象 ニ:着点 "
6042,911105446,2,外せ,0,キッカー村井,3,5,ＦＧ,1,0,,-1,-1,外せば,"ガ:経験者？ ヲ:対象 "
6052,911105446,5,外し,42,キッカー村井,3,5,距離,5,39,,-1,-1,立命の,"ガ:経験者？ ヲ:対象 "
6093,911105446,19,救っ,40,ミカン,19,33,全体,19,37,,-1,-1,「短気,"ガ:対象（生物） ヲ:対象 "
6114,911105447,5,磨い,66,曙,13,0,当たり,5,62,,-1,-1,右上手,"ガ:動作主 ヲ:対象（事態） "
6219,911105449,23,詰まら,9,声,23,7,,-1,-1,,-1,-1,初の王,"ガ:対象？ "
6251,911105450,10,乗せ,41,日川,3,44,夢,10,39,トライ,10,44,ゴール,"ガ:対象 ヲ:削除 ニ:着点 "
6320,911105451,15,劣れ,51,うち,15,1,,-1,-1,,-1,-1,「うち,"ガ:経験者 ニ:基準点 "
6386,911105452,16,自覚し,17,ベテランたち,16,0,こと,16,14,,-1,-1,ベテラ,"ガ:動作主？ ヲ:対象 "
6409,911105454,3,収集し,6,グループ,2,0,未公表資料,3,0,,-1,-1,未公表,"ガ:動作主 ヲ:対象 "
6414,911105454,5,吸収さ,50,硫酸水溶液,5,40,アセチレン,5,34,,-1,-1,「当工,"ガ:対象 ヲ:対象 "
6471,911105458,1,見越し,10,９大貯蓄銀行,0,29,店舗損失,1,5,,-1,-1,「空襲,"ガ:経験者 ヲ:対象（事態） "
6493,911105459,4,勤める,39,中川容疑者,4,7,,-1,-1,同病院,4,28,調べに,"ガ:動作主 ニ:着点 "
6494,911105459,4,知り合い,47,中川容疑者,4,7,,-1,-1,,-1,-1,調べに,"ガ:動作主 "
6516,911105462,1,運転する,17,運転手,1,13,車,1,21,,-1,-1,新宿署,"ガ:動作主 ヲ:対象 "
6604,911105468,2,交え,34,研究委員会,0,25,大蔵省,2,30,,-1,-1,電子端,"ガ:その他 ヲ:対象 ニ:着点？ ニ:対象（事態） "
6642,911105471,1,再現し,44,大分舞鶴,1,11,大接戦,1,40,,-1,-1,第三試,"ガ:経験者？ ヲ:結果 "
6654,911105471,8,外れ,33,ボール,8,21,,-1,-1,ゴールポスト右,8,25,しかし,"ガ:対象 ニ:場所 ガ:対象 ニ:方向 "
6860,911105481,1,休ん,43,首相,1,31,,-1,-1,,-1,-1,石原氏,"ガ:動作主 "
6864,911105481,1,整える,79,首相,1,31,体調,1,76,,-1,-1,石原氏,"ガ:動作主 ヲ:対象 "
6952,911105484,2,連ね,66,重厚長大産業,2,57,名,2,64,,-1,-1,調査結,"ガ:動作主 ヲ:対象 "
6957,911105484,5,伸び,28,宅配便扱い個数,5,13,,-1,-1,,-1,-1,増加ト,"ガ:対象 "
6978,911105484,9,合わせ,83,,-1,-1,手控え傾向,9,77,,-1,-1,この傾,"ガ:経験者？ ヲ:状況 ニ:着点？ "
6987,911105485,2,閉鎖し,58,英国,2,0,大使館,2,54,,-1,-1,英国へ,"ガ:動作主 ヲ:対象 "
7045,911105488,3,越境攻撃し,4,セルビア人勢力,3,30,,-1,-1,同地域,3,0,同地域,"ガ:動作主 ニ:場所 "
7090,911105490,3,落ち込ん,73,外貨準備,3,57,,-1,-1,六十一億ドル,3,66,大統領,"ガ:対象（事態） ニ:着点？ "
7152,911105495,5,施行さ,45,,-1,-1,政党助成法,4,0,,-1,-1,今月一,"ガ:動作主 ヲ:生成物 "
7159,911105496,2,受賞し,14,熊谷元一写真全集,2,19,毎日出版文化賞特別賞,2,3,,-1,-1,昨年の,"ガ:対象 ヲ:対象 "
7167,911105497,0,収録し,45,,-1,-1,資料集,0,41,石原廣一郎関係文書,0,50,戦前か,"ガ:対象 ヲ:対象 ニ:削除 "
7195,911105497,10,収録さ,73,,-1,-1,日本再建設,10,66,下巻,10,0,下巻は,"ガ:対象 ヲ:対象 ニ:削除 "
7243,911105499,15,終結し,61,冷戦,15,58,,-1,-1,,-1,-1,たとえ,"ガ:対象 "
7293,911105500,8,立ち上がる,30,農民たち,8,12,,-1,-1,,-1,-1,悪政に,"ガ:動作主 ガ:動作主 "
7322,911105502,0,付い,39,お年玉,0,34,,-1,-1,ニューイヤー・コンサート,0,19,ウィー,"ガ:対象 ニ:着点 "
7324,911105502,1,付い,39,愉しみ,1,34,,-1,-1,プログラム,1,12,１２０,"ガ:対象 ニ:着点 "
7338,911105503,0,吹か,22,風,0,20,,-1,-1,,-1,-1,宝塚雪,"ガ:対象？ "
7347,911105503,3,刺さ,8,暴漢,3,3,足,3,6,,-1,-1,しかし,"ガ:動作主 ヲ:対象（身体部分） "
7350,911105503,4,吹か,13,風,4,11,,-1,-1,,-1,-1,トシオ,"ガ:対象？ "
7569,911105510,12,寝,11,出口さん,12,6,,-1,-1,,-1,-1,姉と一,"ガ:動作主 "
7586,911105510,19,打ち切っ,38,警察,19,45,捜査,19,35,,-1,-1,パチン,"ガ:動作主 ヲ:対象（事態） "
7589,911105510,20,動かし,23,執念,20,16,警察,20,20,,-1,-1,出口さ,"ガ:感情 ヲ:対象？ "
7607,911105510,25,貸し,42,銀行,25,17,金,25,40,事業,25,31,「今さ,"ガ:動作主 ヲ:対象 ニ:着点 "
7615,911105510,27,降り,14,女性店長,26,6,店長,27,11,,-1,-1,摘発間,"ガ:動作主 ヲ:役割 ガ:動作主 ヲ:役割 "
7655,911105512,4,誘わ,12,男,3,40,日本人観光客,1,2,,-1,-1,疲れて,"ガ:動作主 ヲ:対象（人） "
7680,911105513,3,引きずっ,90,青森県八戸市役所,3,18,慌ただしさ,3,84,,-1,-1,三陸は,"ガ:経験者？ ヲ:対象 "
7683,911105513,5,祝う,16,中里信男市長,5,0,新年,5,13,,-1,-1,中里信,"ガ:動作主 ヲ:対象 "
7739,911105516,0,兼ね,46,年賀状,0,49,転居あいさつ,0,39,,-1,-1,金泳三,"ガ:対象 ヲ:用途 "
7742,911105516,1,知り合っ,29,私,9,0,,-1,-1,,-1,-1,韓さん,"ガ:動作主 "
7752,911105516,4,遊ん,62,皆さん,4,39,,-1,-1,,-1,-1,韓さん,"ガ:動作主 "
7761,911105516,8,裏切ら,8,有権者,8,4,韓さん,7,0,,-1,-1,「たと,"ガ:動作主 ヲ:対象（人） "
7762,911105516,8,裏切り,22,韓さん,7,0,国民,8,19,,-1,-1,「たと,"ガ:動作主 ヲ:対象（人） "
7829,911105520,1,統合する,18,府,0,22,四団体,1,11,二つ,1,15,年内に,"ガ:動作主 ヲ:対象 ニ:程度 "
7843,911105520,6,統合する,62,大阪府,4,0,大阪府地域福祉推進財団,6,45,,-1,-1,さらに,"ガ:動作主 ヲ:対象 "
7854,911105521,0,劣ら,20,米,0,3,,-1,-1,コシヒカリ,0,14,韓国の,"ガ:対象 ニ:基準点 "
7861,911105521,3,思い込ん,34,,-1,-1,,-1,-1,,-1,-1,従って,"ガ:動作主？ "
7955,911105524,8,偏っ,17,研究領域,8,7,,-1,-1,文系,8,14,冨士谷,"ガ:対象 ニ:着点 "
7968,911105525,3,放送し,68,ＣＮＹ,2,27,計二十八チャンネル,3,58,,-1,-1,延長六,"ガ:動作主 ヲ:対象 "
7969,911105525,4,余っ,8,チャンネル回線,4,11,,-1,-1,,-1,-1,電話サ,"ガ:対象 "
8177,911115408,15,組み合わせ,43,,-1,-1,手法,15,40,,-1,-1,融資や,"ガ:動作主 ヲ:対象 "
8185,911115408,17,広まり,11,デリバティブ取引,8,0,,-1,-1,,-1,-1,１９８,"ガ:対象 "
8192,911115409,1,広まっ,16,暗殺説,1,12,,-1,-1,,-1,-1,また、,"ガ:対象 "
8216,911115410,4,打ち切っ,34,同県警,4,0,捜索,4,31,,-1,-1,同県警,"ガ:動作主 ヲ:対象（事態） "
8270,911115413,4,整える,34,首相,4,0,体調,4,31,,-1,-1,首相は,"ガ:動作主 ヲ:対象 "
8528,911115420,1,同行し,11,武村正義蔵相ら六閣僚,1,0,,-1,-1,河野洋平副総理・外相,0,28,武村正,"ガ:動作主 ニ:対象（人） "
8644,911115424,10,預け,32,毎日新聞,0,0,調査票,10,28,,-1,-1,調査は,"ガ:動作主 ヲ:対象 "
8681,911115425,11,漂う,11,悲哀,11,7,,-1,-1,,-1,-1,サラリ,"ガ:感情 "
8779,911115425,52,自覚し,11,私,52,1,,-1,-1,,-1,-1,「私も,"ガ:動作主？ "
8824,911115427,0,倒し,17,,-1,-1,エルシャド軍事独裁政権,0,5,,-1,-1,約四年,"ガ:動作主？ ヲ:対象 "
8849,911115427,9,突破す,15,,-1,-1,,-1,-1,,-1,-1,与党内,"ヲ:対象（事態） ガ:動作主？ "
8999,911115436,10,寝る,6,人,10,8,,-1,-1,,-1,-1,疲れて,"ガ:動作主 "
9077,911115442,2,認可さ,28,中国対外貿易経済合作部,0,48,,-1,-1,,-1,-1,大阪商,"ガ:動作主 ヲ:対象（事態） ニ:着点？ "
9110,911115445,1,軽減する,19,,-1,-1,住宅建築コスト,1,6,三分の二,1,14,行動計,"ガ:動作主 ヲ:対象 ニ:程度 "
9150,911115448,3,特定し,23,米国,3,9,補修用部品,3,12,三〇一条,3,18,同協議,"ガ:動作主 ヲ:対象 ニ:対象 "
9151,911115448,3,中断し,30,日米政府,0,47,同協議,3,0,,-1,-1,同協議,"ガ:対象（事態） ヲ:削除 "
9245,911115453,7,励ます,80,私,3,33,子ども,7,67,,-1,-1,「今年,"ガ:動作主 ヲ:対象（人） "
9294,911115454,13,囲ま,2,本,13,0,,-1,-1,,-1,-1,本に囲,"ガ:対象 ヲ:対象（人） "
9296,911115454,13,抜け,15,床,13,13,,-1,-1,,-1,-1,本に囲,"ガ:対象 "
9432,911115459,13,逃し,21,ノーマン,11,17,賞金王,13,17,,-1,-1,平均ス,"ガ:経験者 ヲ:目標 "
9450,911115459,20,裏切る,5,日本選手,20,14,期待,20,2,,-1,-1,毎年期,"ガ:経験者？ ヲ:対象（事態） "
9484,911115460,15,プレーする,3,若手,15,8,,-1,-1,,-1,-1,国内で,"ガ:動作主 "
9498,911115460,20,作り出す,32,日本,18,8,場面,20,26,,-1,-1,プレッ,"ガ:動作主 ヲ:生成物 "
9502,911115461,1,引き受け,8,ペレ氏,1,0,大臣,1,5,,-1,-1,ペレ氏,"ガ:動作主 ヲ:役割 "
9603,911115465,10,慣れ,25,次晴,8,20,,-1,-1,Ｗ杯,10,19,「楽し,"ガ:経験者 ニ:対象 "
9647,911115467,9,満足し,26,,-1,-1,,-1,-1,,-1,-1,「スト,"ガ:経験者 "
9699,911115467,25,放送さ,18,,-1,-1,夫婦善哉,25,12,,-1,-1,今年春,"ガ:その他 ヲ:対象 "
9731,911115469,2,吹き,35,強風,2,32,,-1,-1,,-1,-1,この日,"ガ:対象 "
9813,911115470,1,受け付け,12,ぼけ１１０番,0,18,電話相談,0,13,,-1,-1,午前十,"ガ:動作主 ヲ:対象（事態） "
9878,911115473,1,転落し,52,二人,1,46,,-1,-1,海中,1,49,船長ら,"ガ:経験者 ニ:着点（場所） "
