ID,記事ID,文番号,述語,述語位置,本文切り抜き,語義,コメント
2572,911075486,25,出会っ,10,メコン,18001350-2_0-0-1-0-0,
2587,911075487,4,稼ぐ,32,現在最,-1,「働いて収入を得る」でもいいが、「働く」の意味は含まれていないので、Unknownにした。「四分の一」は数量だが、程度にしなかった。
2664,911075489,4,遊ぶ,9,小舟の,00017440-2_0-0-1-0-0,
2679,911075489,9,伸び,13,ベトナ,20050440-5_0-0-4-0-0,
2680,911075489,9,稼ぐ,27,ベトナ,-1,「働いて収入を得る」でもいいが、「働く」の意味は含まれていないので、Unknownにした。ガ格の「コメ生産」は対象（事態）にしたが、よかったのか？
2773,911075491,16,消滅し,16,タイ北,12037750-1_0-0-0-0-0,
2807,911075492,4,着い,49,ヘルメ,17032690-2_0-0-1-0-0,
2920,911075496,0,立ち上がっ,80,サンパ,16022780-5_0-0-4-0-0,
2920,911075496,0,立ち上がっ,80,サンパ,-3,
2928,911075496,5,勤め,24,日本で,17036650-2_0-0-1-0-0,
2935,911075496,7,収集し,15,広いブ,12004990-3_0-0-2-0-0,
2961,911075498,2,流行し,26,大正時,21035540-1_0-0-0-0-0,
2969,911075499,2,閉鎖さ,24,スポッ,24001980-2_0-0-1-0-0,ガ格は、組織と考えて動作主にしたが、よかったか？
2984,911075500,4,埋まっ,62,例年、,02014430-4_0-0-3-0-0,
2987,911075501,0,壊れ,60,三十一,09058290-2_0-0-1-0-0,
3101,911095409,12,アップし,15,自主目,00020510-1_0-0-1-0-0,
3104,911095409,13,カバーせ,20,下回っ,05008440-3_0-0-2-0-0,ヲ格を範囲にすべきか迷った。
3111,911095410,1,漂う,19,空には,16022380-2_0-0-1-0-0,
3430,911095417,10,更新し,23,しかし,09014180-2_0-0-1-0-0,
3554,911095422,1,放送さ,25,例年、,24022280-2_0-0-1-0-0,
3578,911095422,6,再放送さ,40,この社,24022280-2_0-0-1-0-0,
3750,911095432,4,遊ん,8,遊園地,00017440-2_0-0-1-0-0,
3782,911095433,2,運転し,2,車を運,02020310-1_0-0-1-0-0,
3946,911095438,16,満足せ,8,「王国,25017600-3_0-0-2-0-0,
4007,911095439,14,逆転し,30,花田ら,06023600-3_0-0-2-0-0,
4023,911095440,2,抜け,9,「いい,20035550-8_0-0-2-0-0,「防御ライン」は経路ではないと思ったので、対象にした。
4038,911095440,10,覚悟し,12,サイド,04021660-3_0-0-2-0-0,｢同点」を対象ではなく、｢状況」にしたが、よかったか？
4041,911095440,12,拾う,10,やはり,22031370-3_1-0-1-0-0,所有物の移動があるから
4048,911095440,17,犯し,13,焦った,03009680-2_0-0-1-0-0,この語義は、5376の「法律や規則に反することをする」か、広辞苑の「してはならないことをする」の方か迷った。しかし、5376にした。また、この「犯す」は機能動詞かと思った。機能動詞なら、「反則」は「対象（事態）」にすべきだが、機能動詞と考えないなら、対象でいいと思うが。
4050,911095440,18,救う,3,危機を,13009160-2_0-0-1-0-0,本当は「危機」はカラ格か？ヲ格は「久我山」かと思うが、文章どおり、｢危機」にヲ格をつける。
4070,911095440,26,外れる,26,トライ,21020100-3_0-0-2-0-0,
4127,911095441,18,味わっ,43,２年近,00015990-4_0-0-3-0-0,
4140,911095441,22,緊張する,6,それで,06054290-3_0-0-2-0-0,
4185,911095443,5,偏ら,34,奈良育,04040550-3_0-0-2-0-0,
4247,911095444,13,プレーし,13,古前田,23033530-2_0-0-2-0-0,
4264,911095445,1,退け,39,明大と,12049930-3_0-0-2-0-0,
4293,911095445,11,突破し,36,早大防,19026500-2_0-0-1-0-0,「防御」はサ変名詞だが、この場合は対象（事態）にしなくていいと思った。
4374,911095447,13,表示さ,21,画面に,22026630-3_0-0-2-0-0,
4401,911095447,26,合わせ,31,全国紙,00033600-2_0-0-1-0-0,
4401,911095447,26,合わせ,31,全国紙,00033600-2_0-0-1-0-0,「全国紙五紙」にニ格をつけたが、文の形ではニ格をつけるべきではなかったのか？
4407,911095447,28,取り込む,14,静止画,19034480-2_1-0-1-0-0,動詞項構造シソーラスでは、ニ格は付いていないが、着点でつけた。よかったか？
4469,911095452,1,捜査し,26,麹町署,15004580-3_0-0-2-0-0,
4517,911095454,7,製造さ,56,しかし,14007320-3_0-0-2-0-0,
4527,911095455,3,祝う,18,陛下は,01033270-2_0-0-1-0-0,
4532,911095456,0,転落し,61,一日午,18026510-2_0-0-1-0-0,
4555,911095458,3,観測し,31,釧路、,05032740-2_0-0-1-0-0,
4556,911095458,4,観測さ,3,津波は,05032740-2_0-0-1-0-0,
4609,911095463,0,詰まら,27,東京都,17038890-3_0-0-2-0-0,
4612,911095463,1,詰まら,28,東京消,17038890-3_0-0-2-0-0,
4619,911095464,0,脅し,71,二日午,03021640-2_0-0-1-0-0,
4629,911095465,0,祝う,3,新年を,01033270-2_0-0-1-0-0,
4674,911095467,2,合わせ,10,マルチ,-1,1603と1604が近いような気もするが、大辞林の「他とリズム・テンポなどが一致するようにして、ある動作をする」が合っているような気がするので、Unknownにした。
4718,911095468,7,降り,9,「元日,-1,「ふる」なので、Unknownにした
4731,911095470,2,アップし,29,初乗り,00020510-1_0-0-1-0-0,
4783,911095475,0,売り出し,83,赤飯の,02017500-2_1-0-1-0-0,
4783,911095475,0,売り出し,83,赤飯の,-3,
4802,911095475,7,売り出し,17,赤米を,02017500-2_1-0-1-0-0,
4802,911095475,7,売り出し,17,赤米を,-3,
4824,911095477,0,祝う,6,新年を,01033270-2_0-0-1-0-0,
4916,911095481,1,刺し,31,調べで,-1,
4919,911095481,2,手伝っ,18,李容疑,18013280-2_1-0-0-0-0,
4930,911105408,1,裏付ける,9,景気回,02016430-3_0-0-2-0-0,
4953,911105408,8,引きずる,32,九五年,22005080-4_0-0-3-0-0,
5051,911105414,3,祝う,22,十二月,01033270-2_0-0-1-0-0,
5222,911105417,1,配ら,18,政党で,07013880-2_0-0-1-0-0,このニ格は、なくてもいいと思ったので、つけない。
5279,911105418,3,逆転し,91,母親が,06023600-3_0-0-2-0-0,
5372,911105422,1,中断し,24,日朝交,17013820-3_0-0-2-0-0,ガ格は、｢日朝交渉」全体につけていいと思う。
5434,911105425,8,取り付け,39,同派と,19035120-4_0-0-3-0-0,
5512,911105432,0,巻き,10,電灯を,-1,該当する語義なし（「渦巻く」ならある）。大辞林の「それ自体の形状を円環形または螺旋形にする」か？また、「渦」は状態にした
5530,911105432,5,作り出す,9,かび臭,17033420-4_0-0-3-0-0,「藻」は意思がないので、対象（生物）にした。
5530,911105432,5,作り出す,9,かび臭,-3,
5550,911105432,12,交え,34,「計十,25006330-2_0-0-1-0-0,ニ格「説明」につけるべきか？一応つけたが。

5553,911105432,13,通す,21,続いて,19014420-8_1-0-2-1-0,
5592,911105433,5,壊れ,20,コンピ,09058290-2_0-0-1-0-0,
5593,911105433,5,計算し,41,コンピ,08003580-3_0-0-2-0-0,
5639,911105434,10,合わせる,36,そう勧,00033600-2_0-0-1-0-0,ヲ格を外界一般にしたが、つけなくてもよかったか？
5664,911105436,2,落ち込ん,14,労組に,03018300-4_0-0-3-0-0,「過去最低水準」は、最初「程度」にしていたが、「着点」に変更した。よかったか？
5744,911105439,0,引きずら,42,バブル,-1,大辞林の「（受け身の形で）影響される」の語義に該当するので、Unknownにした。33951の語義でもいいように思う。
5767,911105439,4,割れ,34,また価,29009220-6_0-0-3-0-0,
5911,911105443,2,付い,15,合成皮,17032600-7_1-0-1-5-0,
6042,911105446,2,外せ,0,外せば,-1,この「外す」は「ねらった目標などをそらす」の意味なので、Unknownにした。32445に「そらす」があるが、sampleを見たら、ちょっと違う感じがするから、Unknownにしておく
6052,911105446,5,外し,42,立命の,-1,この「外す」は「ねらった目標などをそらす」の意味なので、Unknownにした。32445に「そらす」があるが、sampleを見たら、ちょっと違う感じがするから、Unknownにしておく
6093,911105446,19,救っ,40,「短気,13009160-2_0-0-1-0-0,この「ミカン」は人のことだが、「ミカン」になっているので、「対象（生物）」にしておく。
6114,911105447,5,磨い,66,右上手,25020380-3_0-0-2-0-0,「当たり」に「対象（事態）」をつけたが、よかったか？
6219,911105449,23,詰まら,9,初の王,17038890-4_0-0-3-0-0,26302の語義と迷ったが、「言葉に詰まる」と同じと思ったので、26303にした。また、「声を詰まらせる」は慣用句ではなかった。ニ格はつけなかった。
6251,911105450,10,乗せ,41,ゴール,-1,31390の「上に置く」も近いような気もするが、「それによって運ぶ」も近いと思う。ぴったりくる語義がないので、Unknownにしておく。
6251,911105450,10,乗せ,41,ゴール,-4,
6320,911105451,15,劣れ,51,「うち,03022310-2_0-0-1-0-0,
6386,911105452,16,自覚し,17,ベテラ,11006650-2_0-0-1-0-0,
6409,911105454,3,収集し,6,未公表,12004990-3_0-0-2-0-0,
6414,911105454,5,吸収さ,50,「当工,06027950-4_0-0-3-0-0,
6471,911105458,1,見越し,10,「空襲,25021510-3_0-0-2-0-0,ヲ格に生成物をつけなかった。
6471,911105458,1,見越し,10,「空襲,-3,
6493,911105459,4,勤める,39,調べに,17036650-2_0-0-1-0-0,
6494,911105459,4,知り合い,47,調べに,12049390-1_0-0-0-0-0,
6494,911105459,4,知り合い,47,調べに,-3,
6516,911105462,1,運転する,17,新宿署,02020310-1_0-0-1-0-0,
6581,911105466,3,降り,14,寒風に,-1,「ふる」なので、Unknownにした。
6581,911105466,3,降り,14,寒風に,-3,「ふる」だが、一応複合動詞をつけておく。
6604,911105468,2,交え,34,電子端,25006330-2_0-0-1-0-0,このガ格は、意味のあるガ格と思わなかったので、その他にした。ニ格を当初「日証協」にしていたが、「具体的検討」に変更したので、意味役割も「対象（事態）」と｢着点」両方つけることにした。
6642,911105471,1,再現し,44,第三試,10003050-1_0-0-0-0-0,ガ格を「長崎北陽台-大分舞鶴戦」にせず、「大分舞鶴」にしたが、よかったか？また、これは、経験者にした。
6654,911105471,8,外れ,33,しかし,21020100-3_0-0-2-0-0,
6860,911105481,1,休ん,43,石原氏,27005330-2_1-0-1-0-0,この｢休む」は「寝る」の語義も含まれていると思うが、41675にする。
6864,911105481,1,整える,79,石原氏,19027490-2_0-0-1-0-0,大辞林に「調子・リズムなどをあわせる」というのがあるので、Unknownにしようと思ったが、広辞苑では、28609の語義の例文に「息を整える」というのがあるので、Unknownではなく、28609にした。
6952,911105484,2,連ね,66,調査結,17040950-3_0-0-2-0-0,
6957,911105484,5,伸び,28,増加ト,20050440-5_0-0-4-0-0,
6978,911105484,9,合わせ,83,この傾,00033600-2_0-0-1-0-0,「人員削減計画」の「計画」は、サ変名詞だが、対象（事態）にはしなかった。
6987,911105485,2,閉鎖し,58,英国へ,24001980-3_0-0-2-0-0,
7045,911105488,3,越境攻撃し,4,同地域,09009240-2_0-0-1-0-0,ヲ格が必須格だが、元の文章の格を優先した。
7090,911105490,3,落ち込ん,73,大統領,03018300-4_0-0-3-0-0,
7152,911105495,5,施行さ,45,今月一,11012820-3_0-0-2-0-0,
7159,911105496,2,受賞し,14,昨年の,12013540-1_0-0-0-0-0,
7167,911105497,0,収録し,45,戦前か,12009930-2_0-0-1-0-0,
7195,911105497,10,収録さ,73,下巻は,12009930-2_0-0-1-0-0,「日本再建設」は固有名詞（本の名前）なので、対象（事態）にしなかった。
7243,911105499,15,終結し,61,たとえ,12003670-1_0-0-1-0-0,
7293,911105500,8,立ち上がる,30,悪政に,16022780-5_0-0-4-0-0,事態性名詞はないが、「行動を起こす」から。
7293,911105500,8,立ち上がる,30,悪政に,-3,
7322,911105502,0,付い,39,ウィー,17032600-5_1-0-1-3-0,
7324,911105502,1,付い,39,１２０,17032600-5_1-0-1-3-0,
7338,911105503,0,吹か,22,宝塚雪,-1,自然現象の「風」が吹くではないから、Unknownにした。
7347,911105503,3,刺さ,8,しかし,-1,
7350,911105503,4,吹か,13,トシオ,-1,自然現象の「風」が吹くではないから、Unknownにした。
7569,911105510,12,寝,11,姉と一,20042800-4_0-0-3-0-0,身体的変化を表しているのではないと思ったから
7586,911105510,19,打ち切っ,38,パチン,02009090-3_0-0-2-0-0,
7586,911105510,19,打ち切っ,38,パチン,-3,
7589,911105510,20,動かし,23,出口さ,02004790-6_0-0-5-0-0,「警察」を「対象（人）」にしなかった。
7607,911105510,25,貸し,42,「今さ,04033860-2_0-0-1-0-0,
7615,911105510,27,降り,14,摘発間,03031230-7_0-0-3-0-0,
7655,911105512,4,誘わ,12,疲れて,10017920-2_0-0-1-0-0,
7680,911105513,3,引きずっ,90,三陸は,22005080-4_0-0-3-0-0,「青森県八戸市役所」に経験者をつけたが、対象にすべきか？
7683,911105513,5,祝う,16,中里信,01033270-2_0-0-1-0-0,
7739,911105516,0,兼ね,46,金泳三,05007990-2_1-0-1-0-0,
7742,911105516,1,知り合っ,29,韓さん,12049390-1_0-0-0-0-0,
7742,911105516,1,知り合っ,29,韓さん,-3,
7752,911105516,4,遊ん,62,韓さん,00017440-2_0-0-1-0-0,
7761,911105516,8,裏切ら,8,「たと,02016200-2_0-0-1-0-0,
7762,911105516,8,裏切り,22,「たと,02016200-2_0-0-1-0-0,
7829,911105520,1,統合する,18,年内に,19005470-1_0-0-0-0-0,
7843,911105520,6,統合する,62,さらに,19005470-1_0-0-0-0-0,
7854,911105521,0,劣ら,20,韓国の,03022310-2_0-0-1-0-0,
7861,911105521,3,思い込ん,34,従って,03027270-2_0-0-1-0-0,
7861,911105521,3,思い込ん,34,従って,-3,
7955,911105524,8,偏っ,17,冨士谷,04040550-3_0-0-2-0-0,
7968,911105525,3,放送し,68,延長六,24022280-2_0-0-1-0-0,
7969,911105525,4,余っ,8,電話サ,00026970-2_0-0-1-0-0,
8013,911105527,0,降り,33,四日の,-1,「ふる」なので、Unknownにした。
8177,911115408,15,組み合わせ,43,融資や,07015550-3_0-0-2-0-0,
8185,911115408,17,広まり,11,１９８,22031800-3_0-0-2-0-0,以前は、「デリバティブ取引」にしていたから、それなら「対象（事態）」にするが、直近をみたら、「デリバティブ」なので、「対象（事態）」にしないで、対象にしておく。ニ格は「世間」とかが入るが、つけなかった。
8192,911115409,1,広まっ,16,また、,22031800-3_0-0-2-0-0,
8216,911115410,4,打ち切っ,34,同県警,02009090-3_0-0-2-0-0,
8216,911115410,4,打ち切っ,34,同県警,-3,
8270,911115413,4,整える,34,首相は,19027490-2_0-0-1-0-0,大辞林に「調子・リズムなどをあわせる」というのがあるので、Unknownにしようと思ったが、広辞苑では、28609の語義の例文に「息を整える」というのがあるので、Unknownではなく、28609にした。
8528,911115420,1,同行し,11,武村正,19005530-3_0-0-2-0-0,「参拝に同行する」なら27753になるが、この場合は、主たる人が存在するので、27754でいい。
8644,911115424,10,預け,32,調査は,-1,当初、715の「人に頼んで、物の保管や世話をしてもらう」にしていたが、「保管をしてもらう」とは違うので、Unknownに変更した。
8681,911115425,11,漂う,11,サラリ,16022380-5_0-0-4-0-0,
8779,911115425,52,自覚し,11,「私も,11006650-2_0-0-1-0-0,
8824,911115427,0,倒し,17,約四年,16014010-3_0-0-2-0-0,
8849,911115427,9,突破す,15,与党内,19026500-2_0-0-1-0-0,ヲ格は、最初「政争」にしていたが、「混乱」に変更した。そして、「混乱」だと対象（事態）がつけられるので、対象（事態）に変更した。 ガ格は、動作主にしたが、よかったのか？
8999,911115436,10,寝る,6,疲れて,20042800-2_0-0-1-0-0,
9077,911115442,2,認可さ,28,大阪商,20032510-3_0-0-2-0-0,
9110,911115445,1,軽減する,19,行動計,08002740-1_0-0-0-0-0,
9150,911115448,3,特定し,23,同協議,19019600-1_0-0-1-0-0,
9151,911115448,3,中断し,30,同協議,17013820-3_0-0-2-0-0,「同」とついているから、｢対象（事態）」にしていいのか迷った。
9245,911115453,7,励ます,80,「今年,21015950-2_0-0-1-0-0,
9294,911115454,13,囲ま,2,本に囲,04029070-1_0-0-0-0-0,
9296,911115454,13,抜け,15,本に囲,20035550-3_0-0-1-1-0,
9432,911115459,13,逃し,21,平均ス,20047490-3_0-0-2-0-0,
9450,911115459,20,裏切る,5,毎年期,02016200-3_0-0-2-0-0,4150のガ格は、動作主ではなく経験者になると思うが、違うか？
9484,911115460,15,プレーする,3,国内で,23033530-2_0-0-2-0-0,
9498,911115460,20,作り出す,32,プレッ,17033420-4_0-0-3-0-0,
9498,911115460,20,作り出す,32,プレッ,-3,
9502,911115461,1,引き受け,8,ペレ氏,22004500-2_0-0-1-0-0,
9502,911115461,1,引き受け,8,ペレ氏,-3,
9603,911115465,10,慣れ,25,「楽し,20017130-2_0-0-1-0-0,
9647,911115467,9,満足し,26,「スト,25017600-3_0-0-2-0-0,
9699,911115467,25,放送さ,18,今年春,24022280-2_0-0-1-0-0,デ格がガ格の代わりをしているわけではないが、デ格で事足りるから、「その他」にした。
9731,911115469,2,吹き,35,この日,23009680-2_1-0-1-0-0,
9813,911115470,1,受け付け,12,午前十,02004370-2_0-0-1-0-0,「電話相談」は、対象（事態）にしてよかったか？「受け付ける」は「訪問して来た者を応対する」ではなく、「受け取る」となっているが、「申し込みなどを受ける」の3561にした。
9878,911115473,1,転落し,52,船長ら,18026510-2_0-0-1-0-0,
9921,911115476,1,配ら,4,いった,07013880-2_0-0-1-0-0,このニ格は、なくてもいいと思ったので、つけない。
9922,911115476,1,取り出し,16,いった,19034830-2_0-0-1-0-0,
9922,911115476,1,取り出し,16,いった,-3,
9931,911115476,4,配ら,0,配られ,07013880-2_0-0-1-0-0,このニ格は、なくてもいいと思ったので、つけない。
9938,911115476,6,取り出し,36,被害に,19034830-2_0-0-1-0-0,
9938,911115476,6,取り出し,36,被害に,-3,
9943,911115476,7,配ら,30,捨てら,07013880-2_0-0-1-0-0,ニ格をつけていなかったが、付けられないわけではないので、つける。
9977,911115478,3,雇っ,34,事務局,27007360-2_0-0-1-0-0,
9988,911115478,7,兼ねる,18,徳見さ,05007990-2_1-0-1-0-0,
9995,911115478,8,座っ,27,佐藤理,13022810-2_0-0-1-0-0,この「座る」には、「しゃがむ」の意味も含まれているので、二格なくてもいいと思った。
10024,911115479,2,切断さ,26,土蔵入,14019800-1_0-0-0-0-0,
10026,911115479,3,盗ま,36,秋山さ,20035890-2_0-0-1-0-0,
10059,911115480,11,出会っ,46,細見画,18001350-2_0-0-1-0-0,この「出会う」は、26558でいいのか？Unknownにするほどでもないと思ったので、26558にしたが。
10081,911115480,18,収集する,18,東京・,12004990-3_0-0-2-0-0,
10255,911115484,3,管理する,3,運行を,05037820-2_0-0-1-0-0,
10291,911115487,1,裏付け,59,気象庁,02016430-3_0-0-2-0-0,
10299,911115488,1,受け付け,45,調べで,02004370-5_0-0-4-0-0,
10341,911115492,0,組織する,61,神奈川,15016030-2_0-0-2-0-0,デ格が、ガ格の役割を果たしているので、ガ格に意味役割はない。なので、動作主ではなく、その他にする。
10359,911115493,1,同行し,56,同十一,19005530-3_0-0-2-0-0,
10372,911115493,5,埋まっ,59,このた,02014430-3_0-0-2-0-0,
10401,911115494,6,競っ,39,パソコ,06014040-1_0-0-0-0-0,
10450,911115495,7,休み,9,以前か,-1,ガ格「社員」のようなものが入ると思ったから、動作主にしたが、「会社」と考えるなら、対象にすべきかと思うが、「会社」でも意思があるといえるので、動作主でいい。
10451,911115495,7,休ん,16,以前か,-1,ガ格「社員」のようなものが入ると思ったから、動作主にしたが、「会社」と考えるなら、対象にすべきかと思うが、「会社」でも意思があるといえるので、動作主でいい。
10477,911115495,15,休ん,52,結構な,27005330-2_1-0-1-0-0,ガ格「社員」のようなものが入ると思ったから、動作主にしたが、「会社」と考えるなら、対象にすべきかと思うが、「会社」でも意思があるといえるので、動作主でいい。
10500,911115496,2,引き受け,6,最初に,22004500-2_0-0-1-0-0,
10500,911115496,2,引き受け,6,最初に,-3,
10533,911115497,3,売り出さ,15,溶ける,02017500-2_1-0-1-0-0,
10533,911115497,3,売り出さ,15,溶ける,-3,
10568,911115497,12,売り出す,27,食べて,02017500-2_1-0-1-0-0,
10568,911115497,12,売り出す,27,食べて,-3,
10607,911115497,30,満ち,11,ふろ場,25026420-3_0-0-2-0-0,39653と39654とで迷うが、限界まで達していないので、39654にした。
10797,911115508,4,収録し,74,この『,12009930-2_0-0-1-0-0,
10800,911115508,6,付い,12,巻末に,17032600-5_1-0-1-3-0,
10805,911115509,1,収録し,26,一九六,12009930-2_0-0-1-0-0,
10812,911115509,3,惜しむ,17,質の高,03015840-5_0-0-4-0-0,
10855,911115511,2,競う,44,また、,06014040-1_0-0-0-0-0,
10864,911115512,2,慣れ,14,このと,20017130-3_0-0-2-0-0,
10890,911115512,11,食う,12,ワカサ,07001580-2_0-0-1-0-0,
10897,911115512,13,誘う,19,普通は,-1,
10898,911115512,13,動かさ,33,普通は,02004790-3_0-0-2-0-0,
10916,911115513,3,巻い,55,すり身,25004210-2_0-0-1-0-0,
11107,911115518,2,スケール・アップさ,11,今年は,-3,
11107,911115518,2,スケール・アップさ,11,今年は,00020510-1_0-0-1-0-0,述語は「スケール・アップする」全体で考えるので、ヲ格は「活動枠」にする。「アップする」だけで考えた場合には、「スケールをアップする」になるが、今はしない。
11131,911115518,10,味わっ,17,「音楽,00015990-3_0-0-2-0-0,
11252,911115521,2,競っ,48,ブラジ,06014040-1_0-0-0-0-0,「筆」は、「対象」にして、「道具」にはしない。また、慣用句でもないようなので、「慣用」にもしない。
11273,911115523,3,売り出す,31,能登半,02017500-4_2-0-0-0-0,
11273,911115523,3,売り出す,31,能登半,-3,
11312,911115526,2,組織する,5,製薬業,15016030-2_0-0-2-0-0,デ格が、ガ格の役割を果たしているので、ガ格に意味役割はない。なので、動作主ではなく、その他にする。
11400,911115531,10,着き,9,昼ごろ,17032690-2_0-0-1-0-0,
11562,911115536,6,再現する,45,アダチ,10003050-1_0-0-0-0-0,ヲ格を生成物にしなかったが、よかったか？
11569,911115537,0,貸し,103,五日午,04033860-2_0-0-1-0-0,
11652,911115541,0,収録し,16,正月、,12009930-3_0-0-2-0-0,
11741,911115544,15,伸び,23,同社は,20050440-5_0-0-4-0-0,
11765,911125408,2,交え,71,両党は,25006330-2_0-0-1-0-0,ニ格を「着点」にしたが、よかったか？ガ格を「両党」にしたが、「外界一般」にして、意味役割を「その他」にすべきか？
